DATE,SEASON,TEAM_ID,ELO
2003-10-05,2003-04,1610612762,1416.0
2003-10-05,2003-04,1610612742,1384.0
2003-10-06,2003-04,1610612763,1416.0
2003-10-06,2003-04,1610612749,1384.0
2003-10-07,2003-04,1610612753,1383.263693206478
2003-10-07,2003-04,1610612742,1400.736306793522
2003-10-07,2003-04,1610612755,1384.0
2003-10-07,2003-04,1610612748,1416.0
2003-10-07,2003-04,1610612751,1416.0
2003-10-07,2003-04,1610612756,1384.0
2003-10-07,2003-04,1610612752,1384.0
2003-10-07,2003-04,1610612745,1384.0
2003-10-07,2003-04,1610612757,1416.0
2003-10-07,2003-04,1610612746,1384.0
2003-10-07,2003-04,1610612758,1416.0
2003-10-07,2003-04,1610612739,1416.0
2003-10-07,2003-04,1610612765,1384.0
2003-10-07,2003-04,1610612764,1416.0
2003-10-08,2003-04,1610612741,1384.0
2003-10-08,2003-04,1610612753,1368.0338330211207
2003-10-08,2003-04,1610612740,1415.2298601853572
2003-10-08,2003-04,1610612765,1400.736306793522
2003-10-08,2003-04,1610612738,1383.263693206478
2003-10-08,2003-04,1610612754,1416.0
2003-10-08,2003-04,1610612764,1399.263693206478
2003-10-08,2003-04,1610612761,1416.736306793522
2003-10-08,2003-04,1610612739,1431.263693206478
2003-10-08,2003-04,1610612737,1384.736306793522
2003-10-08,2003-04,1610612745,1368.736306793522
2003-10-08,2003-04,1610612760,1415.263693206478
2003-10-28,2003-04,1610612747,1416.0339081301693
2003-10-28,2003-04,1610612756,1368.736306793522
2003-10-28,2003-04,1610612742,1384.7023986633528
2003-10-28,2003-04,1610612748,1398.5304984710244
2003-10-28,2003-04,1610612755,1401.4695015289756
2003-10-28,2003-04,1610612759,1415.263693206478
2003-10-29,2003-04,1610612765,1385.4387739660467
2003-10-29,2003-04,1610612753,1384.7685850391
2003-10-29,2003-04,1610612752,1367.2652479820208
2003-10-29,2003-04,1610612739,1414.5612260339533
2003-10-29,2003-04,1610612758,1432.7024671725246
2003-10-29,2003-04,1610612749,1368.736306793522
2003-10-29,2003-04,1610612750,1415.263693206478
2003-10-29,2003-04,1610612748,1381.8278882592376
2003-10-29,2003-04,1610612738,1399.9663034182645
2003-10-29,2003-04,1610612754,1431.2975328274754
2003-10-29,2003-04,1610612764,1414.5612260339533
2003-10-29,2003-04,1610612741,1368.7024671725246
2003-10-29,2003-04,1610612759,1398.5612260339533
2003-10-29,2003-04,1610612743,1416.7024671725246
2003-10-29,2003-04,1610612751,1400.0339081301693
2003-10-29,2003-04,1610612761,1432.7023986633528
2003-10-29,2003-04,1610612742,1401.4064243463295
2003-10-29,2003-04,1610612744,1383.2959743170234
2003-10-29,2003-04,1610612737,1370.1369921128548
2003-10-29,2003-04,1610612740,1429.8291748660245
2003-10-29,2003-04,1610612757,1400.0
2003-10-29,2003-04,1610612762,1432.0
2003-10-30,2003-04,1610612743,1398.507471654866
2003-10-30,2003-04,1610612745,1386.9313023111806
2003-10-30,2003-04,1610612740,1443.7656152649795
2003-10-30,2003-04,1610612753,1370.8321446401449
2003-10-30,2003-04,1610612756,1386.8344696999288
2003-10-30,2003-04,1610612746,1369.4358728782763
2003-10-30,2003-04,1610612760,1429.8278203282016
2003-10-30,2003-04,1610612739,1396.4630631275465
2003-10-31,2003-04,1610612755,1386.903970735899
2003-10-31,2003-04,1610612764,1399.395899506878
2003-10-31,2003-04,1610612761,1447.867725190428
2003-10-31,2003-04,1610612738,1416.7041587034912
2003-10-31,2003-04,1610612763,1399.2621447147733
2003-10-31,2003-04,1610612750,1398.5627845577612
2003-10-31,2003-04,1610612751,1416.734816778886
2003-10-31,2003-04,1610612758,1447.2679979656011
2003-10-31,2003-04,1610612748,1365.994169704409
2003-10-31,2003-04,1610612746,1356.189349276748
2003-10-31,2003-04,1610612765,1401.2724925208754
2003-10-31,2003-04,1610612737,1354.0709301733948
2003-10-31,2003-04,1610612741,1384.7685291119847
2003-10-31,2003-04,1610612749,1387.5866182728932
2003-10-31,2003-04,1610612754,1412.4472213481042
2003-10-31,2003-04,1610612760,1443.0743439297298
2003-11-01,2003-04,1610612763,1414.6945267429069
2003-11-01,2003-04,1610612749,1403.4568433169993
2003-11-01,2003-04,1610612741,1368.8983040678786
2003-11-01,2003-04,1610612752,1352.7025956461503
2003-11-01,2003-04,1610612764,1384.1937239249405
2003-11-01,2003-04,1610612758,1429.0371203458208
2003-11-01,2003-04,1610612743,1416.7383492746465
2003-11-01,2003-04,1610612757,1415.837123664171
2003-11-01,2003-04,1610612739,1380.6259394633755
2003-11-01,2003-04,1610612745,1371.498920283047
2003-11-01,2003-04,1610612751,1431.9369923608235
2003-11-01,2003-04,1610612754,1425.7839092953905
2003-11-01,2003-04,1610612759,1413.1238783698238
2003-11-01,2003-04,1610612761,1429.612269155985
2003-11-01,2003-04,1610612742,1418.811680445004
2003-11-01,2003-04,1610612762,1414.5947439013255
2003-11-01,2003-04,1610612738,1401.9478707665264
2003-11-01,2003-04,1610612753,1356.2303985003127
2003-11-01,2003-04,1610612765,1415.8742386607075
2003-11-01,2003-04,1610612740,1458.5219032019443
2003-11-01,2003-04,1610612737,1340.7342422261086
2003-11-01,2003-04,1610612755,1370.737822332995
2003-11-01,2003-04,1610612756,1372.1759965364893
2003-11-01,2003-04,1610612747,1430.6923812936088
2003-11-01,2003-04,1610612750,1416.8182405922043
2003-11-01,2003-04,1610612744,1399.4621227199275
2003-11-02,2003-04,1610612747,1445.2580357499003
2003-11-02,2003-04,1610612744,1384.896468263636
2003-11-03,2003-04,1610612740,1437.2962658221632
2003-11-03,2003-04,1610612755,1388.803134985731
2003-11-03,2003-04,1610612757,1397.7718110114347
2003-11-03,2003-04,1610612750,1400.7158461834163
2003-11-03,2003-04,1610612762,1430.6971383101136
2003-11-03,2003-04,1610612737,1361.9598796058897
2003-11-03,2003-04,1610612748,1352.4079401557162
2003-11-03,2003-04,1610612745,1387.379159717088
2003-11-03,2003-04,1610612741,1353.0180646338376
2003-11-03,2003-04,1610612759,1397.1962089076976
2003-11-03,2003-04,1610612763,1430.622196205033
2003-11-03,2003-04,1610612752,1368.8650513883692
2003-11-03,2003-04,1610612753,1340.0679427580937
2003-11-03,2003-04,1610612742,1432.3979099936967
2003-11-04,2003-04,1610612751,1413.8962046959723
2003-11-04,2003-04,1610612748,1338.459166266772
2003-11-04,2003-04,1610612759,1411.144982796642
2003-11-04,2003-04,1610612745,1405.4199473819392
2003-11-04,2003-04,1610612743,1401.154818613326
2003-11-04,2003-04,1610612749,1389.3726244162394
2003-11-04,2003-04,1610612754,1441.367439956711
2003-11-04,2003-04,1610612747,1459.3422546506602
2003-11-05,2003-04,1610612741,1368.4219655120621
2003-11-05,2003-04,1610612753,1324.6640418798693
2003-11-05,2003-04,1610612750,1386.0172079366973
2003-11-05,2003-04,1610612749,1404.4293110287215
2003-11-05,2003-04,1610612742,1414.1921602992227
2003-11-05,2003-04,1610612743,1416.2105274566945
2003-11-05,2003-04,1610612764,1402.3994736194145
2003-11-05,2003-04,1610612758,1443.7357585925397
2003-11-05,2003-04,1610612752,1353.8083647758872
2003-11-05,2003-04,1610612739,1365.570230620007
2003-11-05,2003-04,1610612755,1375.0219366882811
2003-11-05,2003-04,1610612756,1358.845793926348
2003-11-05,2003-04,1610612762,1444.0273409202548
2003-11-05,2003-04,1610612738,1386.5888604588886
2003-11-05,2003-04,1610612765,1431.2332489683454
2003-11-05,2003-04,1610612737,1347.0146167349628
2003-11-05,2003-04,1610612744,1399.841731134563
2003-11-05,2003-04,1610612763,1413.1138721356415
2003-11-05,2003-04,1610612757,1415.2801350808263
2003-11-05,2003-04,1610612740,1451.077464119613
2003-11-06,2003-04,1610612747,1473.1368173169267
2003-11-06,2003-04,1610612759,1397.3504201303754
2003-11-06,2003-04,1610612754,1456.1049726389804
2003-11-06,2003-04,1610612742,1398.901816651308
2003-11-06,2003-04,1610612761,1444.9026128038995
2003-11-06,2003-04,1610612751,1399.158672013703
2003-11-07,2003-04,1610612763,1394.6348623760366
2003-11-07,2003-04,1610612756,1377.324803685953
2003-11-07,2003-04,1610612750,1399.2207973000848
2003-11-07,2003-04,1610612753,1311.4604525164818
2003-11-07,2003-04,1610612755,1390.718033337757
2003-11-07,2003-04,1610612741,1352.7258688625861
2003-11-07,2003-04,1610612751,1414.5800632259693
2003-11-07,2003-04,1610612738,1371.1674692466222
2003-11-07,2003-04,1610612762,1426.0034181779392
2003-11-07,2003-04,1610612744,1417.8656538768785
2003-11-07,2003-04,1610612754,1468.0275664846788
2003-11-07,2003-04,1610612739,1353.6476367743085
2003-11-07,2003-04,1610612760,1457.7970968173781
2003-11-07,2003-04,1610612757,1400.557382193178
2003-11-07,2003-04,1610612740,1468.0919720062577
2003-11-07,2003-04,1610612743,1397.4736229754467
2003-11-07,2003-04,1610612746,1374.926253757996
2003-11-07,2003-04,1610612764,1420.347109363159
2003-11-07,2003-04,1610612747,1456.122309430282
2003-11-07,2003-04,1610612765,1446.0013250968775
2003-11-07,2003-04,1610612749,1389.6612349001894
2003-11-07,2003-04,1610612752,1373.8596062823788
2003-11-07,2003-04,1610612758,1423.6845170860481
2003-11-07,2003-04,1610612761,1426.954977060155
2003-11-08,2003-04,1610612741,1373.8516591138691
2003-11-08,2003-04,1610612750,1412.4508035692834
2003-11-08,2003-04,1610612748,1325.2291599975733
2003-11-08,2003-04,1610612763,1380.0755253335813
2003-11-08,2003-04,1610612762,1440.5627552203946
2003-11-08,2003-04,1610612742,1414.8303726760926
2003-11-08,2003-04,1610612759,1381.4218641055909
2003-11-08,2003-04,1610612740,1446.9661817549747
2003-11-08,2003-04,1610612764,1401.3126719113409
2003-11-08,2003-04,1610612757,1414.1109829810928
2003-11-08,2003-04,1610612752,1358.5867968441094
2003-11-08,2003-04,1610612749,1404.9340443384588
2003-11-08,2003-04,1610612739,1372.6820742261266
2003-11-08,2003-04,1610612753,1299.6849576638886
2003-11-08,2003-04,1610612745,1417.1954422345325
2003-11-08,2003-04,1610612737,1333.461015947048
2003-11-09,2003-04,1610612743,1382.828040358782
2003-11-09,2003-04,1610612737,1354.9543717400802
2003-11-09,2003-04,1610612760,1436.303741024346
2003-11-09,2003-04,1610612761,1441.6005596768198
2003-11-09,2003-04,1610612751,1400.023133676326
2003-11-09,2003-04,1610612765,1460.5582546465207
2003-11-09,2003-04,1610612758,1405.2842703121835
2003-11-09,2003-04,1610612738,1389.5677160204868
2003-11-09,2003-04,1610612754,1480.5249491257666
2003-11-09,2003-04,1610612755,1378.2206506966693
2003-11-10,2003-04,1610612762,1421.865220258644
2003-11-10,2003-04,1610612759,1400.1193990673414
2003-11-10,2003-04,1610612752,1343.235552469749
2003-11-10,2003-04,1610612739,1388.0333186004868
2003-11-10,2003-04,1610612756,1395.1833513917695
2003-11-10,2003-04,1610612747,1436.6751008403598
2003-11-10,2003-04,1610612763,1399.5227339235034
2003-11-10,2003-04,1610612743,1398.414754678457
2003-11-10,2003-04,1610612741,1358.264944794194
2003-11-10,2003-04,1610612744,1400.0071061710619
2003-11-11,2003-04,1610612755,1395.2825144434378
2003-11-11,2003-04,1610612765,1442.0340536342212
2003-11-11,2003-04,1610612758,1423.808471324483
2003-11-11,2003-04,1610612737,1339.8730991790699
2003-11-11,2003-04,1610612746,1390.0075263190063
