FIRST_NAME,LAST_NAME,P_ID,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM,MPG,PER
Precious,Achiuwa,1630173,2020-21,1610612748,MIA,21,61,4.0,737,124,228,0.544,0.0,1.0,0.0,56,110,0.509,73.0,135.0,208.0,29,20.0,28.0,43.0,91,304,Miami Heat,12.08,14.33
Steven,Adams,203500,2020-21,1610612740,NOP,27,58,58.0,1605,189,308,0.614,0.0,3.0,0.0,60,135,0.444,213.0,301.0,514.0,111,54.0,38.0,78.0,113,438,New Orleans Pelicans,27.67,15.66
Bam,Adebayo,1628389,2020-21,1610612748,MIA,23,64,64.0,2143,456,800,0.57,2.0,8.0,0.25,283,354,0.799,142.0,431.0,573.0,346,75.0,66.0,169.0,145,1197,Miami Heat,33.48,22.14
LaMarcus,Aldridge,200746,2020-21,1610612759,SAS,35,21,18.0,544,115,248,0.464,27.0,75.0,0.36,31,37,0.838,17.0,77.0,94.0,36,8.0,18.0,20.0,36,288,San Antonio Spurs,25.92,15.84
Nickeil,Alexander-Walker,1629638,2020-21,1610612740,NOP,22,46,13.0,1007,192,458,0.419,76.0,219.0,0.347,48,66,0.727,13.0,131.0,144.0,102,47.0,22.0,69.0,88,508,New Orleans Pelicans,21.89,14.17
Grayson,Allen,1628960,2020-21,1610612763,MEM,25,50,38.0,1260,173,414,0.418,107.0,274.0,0.391,79,91,0.868,19.0,141.0,160.0,108,46.0,8.0,48.0,71,532,Memphis Grizzlies,25.2,13.38
Jarrett,Allen,1628386,2020-21,1610612739,CLE,23,51,40.0,1544,254,417,0.609,6.0,19.0,0.316,158,229,0.69,158.0,348.0,506.0,86,25.0,71.0,78.0,75,672,Cleveland Cavaliers,29.59,18.17
Kyle,Anderson,203937,2020-21,1610612763,MEM,27,69,69.0,1887,308,658,0.468,94.0,261.0,0.36,144,184,0.783,52.0,344.0,396.0,250,84.0,57.0,86.0,120,854,Memphis Grizzlies,27.35,17.76
Giannis,Antetokounmpo,203507,2020-21,1610612749,MIL,26,61,61.0,2013,626,1100,0.569,67.0,221.0,0.303,398,581,0.685,97.0,574.0,671.0,357,72.0,73.0,207.0,168,1717,Milwaukee Bucks,33.0,32.76
Thanasis,Antetokounmpo,203648,2020-21,1610612749,MIL,28,57,3.0,551,67,137,0.489,7.0,29.0,0.241,25,49,0.51,54.0,70.0,124.0,46,22.0,10.0,43.0,74,166,Milwaukee Bucks,9.67,11.66
Carmelo,Anthony,2546,2020-21,1610612757,POR,37,69,3.0,1690,327,777,0.421,133.0,325.0,0.409,137,154,0.89,32.0,182.0,214.0,104,46.0,38.0,61.0,144,924,Portland Trail Blazers,24.49,15.21
Cole,Anthony,1630175,2020-21,1610612753,ORL,21,47,34.0,1273,219,552,0.397,58.0,172.0,0.337,109,131,0.832,38.0,183.0,221.0,192,30.0,18.0,106.0,98,605,Orlando Magic,27.09,12.43
OG,Anunoby,1628384,2020-21,1610612761,TOR,23,43,43.0,1433,249,519,0.48,104.0,261.0,0.398,80,102,0.784,54.0,183.0,237.0,94,66.0,32.0,75.0,114,682,Toronto Raptors,33.33,15.07
Trevor,Ariza,2772,2020-21,1610612748,MIA,36,30,27.0,841,99,241,0.411,50.0,143.0,0.35,34,44,0.773,27.0,117.0,144.0,55,31.0,18.0,21.0,55,282,Miami Heat,28.03,11.63
D.J.,Augustin,201571,2020-21,1610612749,MIL,33,37,6.0,713,71,192,0.37,49.0,129.0,0.38,36,40,0.9,11.0,39.0,50.0,110,20.0,1.0,34.0,33,227,Milwaukee Bucks,19.81,11.26
Deni,Avdija,1630166,2020-21,1610612764,WAS,20,54,32.0,1257,130,312,0.417,53.0,168.0,0.315,29,45,0.644,22.0,240.0,262.0,63,32.0,15.0,33.0,140,342,Washington Wizards,23.28,8.03
Deandre,Ayton,1629028,2020-21,1610612756,PHX,22,69,69.0,2115,430,687,0.626,4.0,20.0,0.2,133,173,0.769,228.0,499.0,727.0,99,41.0,81.0,103.0,196,997,Phoenix Suns,30.65,20.3
Dwayne,Bacon,1628407,2020-21,1610612753,ORL,25,72,50.0,1853,292,726,0.402,59.0,207.0,0.285,145,176,0.824,31.0,193.0,224.0,93,45.0,5.0,46.0,103,788,Orlando Magic,25.74,10.42
Marvin,Bagley III,1628963,2020-21,1610612758,SAC,22,43,42.0,1112,247,490,0.504,37.0,108.0,0.343,77,134,0.575,106.0,212.0,318.0,43,21.0,21.0,59.0,100,608,Sacramento Kings,25.86,15.58
LaMelo,Ball,1630163,2020-21,1610612766,CHA,19,51,31.0,1469,293,672,0.436,92.0,261.0,0.352,125,165,0.758,63.0,239.0,302.0,313,81.0,18.0,145.0,136,803,Charlotte Hornets,28.8,18.63
Lonzo,Ball,1628366,2020-21,1610612740,NOP,23,55,55.0,1747,290,700,0.414,172.0,455.0,0.378,50,64,0.781,33.0,230.0,263.0,316,82.0,31.0,123.0,103,802,New Orleans Pelicans,31.76,16.3
Mo,Bamba,1628964,2020-21,1610612753,ORL,23,46,5.0,725,142,301,0.472,38.0,118.0,0.322,45,66,0.682,76.0,189.0,265.0,35,14.0,58.0,36.0,87,367,Orlando Magic,15.76,19.0
Desmond,Bane,1630217,2020-21,1610612763,MEM,23,68,17.0,1519,234,499,0.469,117.0,271.0,0.432,40,49,0.816,31.0,179.0,210.0,118,41.0,16.0,59.0,125,625,Memphis Grizzlies,22.34,13.08
Harrison,Barnes,203084,2020-21,1610612758,SAC,29,58,58.0,2102,319,642,0.497,100.0,256.0,0.391,195,235,0.83,64.0,321.0,385.0,201,43.0,11.0,93.0,75,933,Sacramento Kings,36.24,14.02
RJ,Barrett,1629628,2020-21,1610612752,NYK,21,72,72.0,2511,467,1060,0.441,124.0,309.0,0.401,206,276,0.746,68.0,346.0,414.0,217,53.0,20.0,139.0,188,1264,New York Knicks,34.88,14.23
Will,Barton,203115,2020-21,1610612743,DEN,30,56,52.0,1736,259,608,0.426,98.0,257.0,0.381,95,121,0.785,39.0,187.0,226.0,181,50.0,23.0,96.0,95,711,Denver Nuggets,31.0,11.25
Nicolas,Batum,201587,2020-21,1610612746,LAC,32,67,38.0,1835,191,412,0.464,110.0,272.0,0.404,48,58,0.828,50.0,266.0,316.0,148,69.0,37.0,53.0,102,540,Los Angeles Clippers,27.39,12.4
Aron,Baynes,203382,2020-21,1610612761,TOR,34,53,31.0,980,134,304,0.441,27.0,103.0,0.262,29,41,0.707,87.0,186.0,273.0,47,17.0,22.0,46.0,119,324,Toronto Raptors,18.49,10.41
Kent,Bazemore,203145,2020-21,1610612744,GSW,31,67,18.0,1334,176,392,0.449,75.0,184.0,0.408,54,78,0.692,26.0,203.0,229.0,108,69.0,33.0,82.0,158,481,Golden State Warriors,19.91,12.09
Darius,Bazley,1629647,2020-21,1610612760,OKC,21,55,55.0,1714,273,690,0.396,83.0,286.0,0.29,125,178,0.702,51.0,345.0,396.0,99,29.0,25.0,122.0,60,754,Oklahoma City Thunder,31.16,10.51
Bradley,Beal,203078,2020-21,1610612764,WAS,28,60,60.0,2147,670,1382,0.485,130.0,373.0,0.349,408,459,0.889,72.0,211.0,283.0,265,69.0,22.0,187.0,140,1878,Washington Wizards,35.78,24.23
Malik,Beasley,1627736,2020-21,1610612750,MIN,24,37,36.0,1214,264,600,0.44,128.0,321.0,0.399,68,80,0.85,28.0,134.0,162.0,88,30.0,7.0,60.0,62,724,Minnesota Timberwolves,32.81,15.97
DeAndre',Bembry,1627761,2020-21,1610612761,TOR,26,51,12.0,972,117,228,0.513,14.0,53.0,0.264,45,66,0.682,33.0,113.0,146.0,107,53.0,18.0,71.0,87,293,Toronto Raptors,19.06,10.91
Davis,Bertans,202722,2020-21,1610612764,WAS,28,57,7.0,1464,193,478,0.404,169.0,428.0,0.395,100,115,0.87,18.0,150.0,168.0,49,33.0,13.0,33.0,136,655,Washington Wizards,25.68,11.81
Patrick,Beverley,201976,2020-21,1610612746,LAC,32,37,34.0,833,93,220,0.423,56.0,141.0,0.397,36,45,0.8,29.0,90.0,119.0,76,29.0,28.0,34.0,108,278,Los Angeles Clippers,22.51,11.67
Saddiq,Bey,1630180,2020-21,1610612765,DET,22,70,53.0,1909,279,691,0.404,175.0,460.0,0.38,124,147,0.844,43.0,275.0,318.0,95,52.0,14.0,60.0,110,857,Detroit Pistons,27.27,12.21
Khem,Birch,203920,2020-21,1610612753,ORL,28,48,5.0,952,94,209,0.45,4.0,21.0,0.19,63,85,0.741,117.0,126.0,243.0,53,32.0,28.0,23.0,67,255,Orlando Magic,22.82,13.32
Khem,Birch,203920,2020-21,1610612761,TOR,28,19,17.0,577,95,171,0.556,9.0,31.0,0.29,28,44,0.636,57.0,87.0,144.0,36,16.0,22.0,21.0,46,227,Toronto Raptors,22.82,16.22
Goga,Bitadze,1629048,2020-21,1610612754,IND,21,45,3.0,561,83,194,0.428,20.0,79.0,0.253,45,61,0.738,60.0,90.0,150.0,37,9.0,60.0,17.0,94,231,Indiana Pacers,12.47,16.64
Bismack,Biyombo,202687,2020-21,1610612766,CHA,28,66,36.0,1349,142,242,0.587,0.0,1.0,0.0,47,105,0.448,137.0,210.0,347.0,81,17.0,74.0,71.0,141,331,Charlotte Hornets,20.44,12.08
